comments,likes,Target
chor media channel,0,Akhilesh
madam jiii jal,0,Akhilesh
fek yrr,0,Akhilesh
gye,0,Akhilesh
unfollow pure jhoote channel,0,Akhilesh
jhuth yretna besrmi news dikhati godi media,0,Akhilesh
lolone godi media the news,0,Akhilesh
chaatu baare public comment padh,0,Akhilesh
jhoothi,0,Akhilesh
propaganda channelsorry imandar channel,0,Akhilesh
rupees bichi,0,Akhilesh
rahne patarkar kabil,0,Akhilesh
बड़बड़ाती ।सनक गई,0,Akhilesh
godi media murdabaad,0,Akhilesh
feku bat,0,Akhilesh
godi media,0,Akhilesh
bikau patrkar,0,Akhilesh
bikau patrkar,0,Akhilesh
गोदी मीडिया अखिलेश यादव अबकी   वोट जीतेंगे तुम लोग bjp bik गए धिक्कार तुम्हारी जिंदगी आज media walo,0,Akhilesh
kyon beyijti karba,0,Akhilesh
sp sapport mansikta samajh aayegi neta mahilla samman ker sapportter mansikta,0,Akhilesh
naya dlala achuka version midia,0,Akhilesh
bikau midia,0,Akhilesh
godi media chamchi,0,Akhilesh
anajana bahan,0,Akhilesh
godi media,0,Akhilesh
godi media,1,Akhilesh
piyush jain bjp nikla baat anjana btaya interview to bewkoof bna sp hai paissa fake news liye waah media,0,Akhilesh
बीजेपी अलविदा फ्रॉम यूपी,0,Akhilesh
chamja  vedio leti,0,Akhilesh
फालतू हवा मत बनाओ अखिलेश ईमानदार बोला अंजना दलाल क्यों सुनाई अगर वो चिढ़ी क्योंगोदीमीडिया थोड़ी बोलते इन्हें इनकी करतूत ऐसी,0,Akhilesh
jai akhilesh,5,Akhilesh
shirph modi badai,0,Akhilesh
deslike dekao,0,Akhilesh
achha shikhati etana chhoth,0,Akhilesh
tumare news des barbad jayg,0,Akhilesh
gogodi media,0,Akhilesh
godi mideya,0,Akhilesh
आपका दर्द समझा,0,Akhilesh
jhothi,0,Akhilesh
ghuti media,0,Akhilesh
chup maharaani bjp chaaploosi band,0,Akhilesh
नशा जरूर करके बोल होसाफ दिख हैं,0,Akhilesh
कह देते इंटरव्यू देख,0,Akhilesh
kaunse desh news channel holulu,0,Akhilesh
बोलना चाहती हो।।। इंटरव्यू हमने देखा है।।। इनाम दार,0,Akhilesh
अरे वाह मान गई तू,0,Akhilesh
cheli,0,Akhilesh
godi media taras,0,Akhilesh
jhuthi,0,Akhilesh
akhlesh bhaiya zindabad,0,Akhilesh
jhoot hoakhilesh anjana om modi usko asliyat dikha diya,0,Akhilesh
anker bna isko,0,Akhilesh
jisane speech bo unlike krein,0,Akhilesh
अन्धी जी।,0,Akhilesh
