comments,likes,Target
विकाश बात ,1,Yogi
jay,0,Yogi
vikas baat,2,Yogi
akhilesh yadav jindabad,2,Yogi
जय महाराज,1,Yogi
baker baba,1,Yogi
हर हिंदू दिल राम कृष्ण,3,Yogi
aayenge yogi,2,Yogi
yogi pagal bulle,1,Yogi
बाबा हताशा झूठे दिलासे दिल दे ठीक गलत बात,1,Yogi
mandir masjid khane,1,Yogi
नौकरी बात होई योगी बोले,1,Yogi
hope voters give landslide victory bjp,2,Yogi
yogiji achievements uphow empowereddo sufficient employment opportunitiesdid farmer felt happy rule,6,Yogi
nan,0,Yogi
modiyogi reminds ram  lakshman walk side sidemodi sri ram calm determined  focusesd hand yogi lakshman tough angry  intolerant corruption  mafiamay god bless victorysaidev vijai bhav,2,Yogi
nan,1,Yogi
baffoons interview godi media,1,Yogi
nan,0,Yogi
विभाजन कारी मीडिया चापलूसी करेंगी।,1,Yogi
nice light supply  district,0,Yogi
nan,2,Yogi
great baba,0,Yogi
jay gurudev,0,Yogi
nan,1,Yogi
nan,2,Yogi
jai shree rammullas stop crying,13,Yogi
bhadwe jhatu party,0,Yogi
आपके चित्रकूट जिले मानिकपुर आने तहसील अधिकारी धान खरीद घूसखोर गए करिए श्रीमान किसान परेशान,1,Yogi
india give journalist licenses annually  film industries give annual licenses youtube channells fake news  fraud thumbnails reduced nation professionals roles,0,Yogi
time dhongi,0,Yogi
brand made india,0,Yogi
nan,1,Yogi
sanyasi kind politicswhen experience running house holdhow run state same applies pm kids own discrimination states,3,Yogi
chor,1,Yogi
politics follow rules robe renounce forgotten meaning robe,0,Yogi
asauddin enrage bjp winassauddin covert bjp,0,Yogi
femaleit kashi kasi,0,Yogi
iam andhraup no  banaaya yogi abb uttam pradesh banegayogi govindha,0,Yogi
इंडिया टुडे गोदी मीडिया,0,Yogi
akhilesh,2,Yogi
nan,0,Yogi
owaisi says yogi modi goes police taught lesson yogi teach police him,1,Yogi
kisan gye khalistani the akal thikane lag gyi,1,Yogi
akhon akhen dalke bath yogiji,0,Yogi
yogi yogi usko ladki bhav dalti problem tha,1,Yogi
hard questions anjana om yogi,3,Yogi
desh subka hai eska bath adath badla,0,Yogi
interview hai,1,Yogi
வாழ்க பாரதம்வாழ்க யோகி ஜி,1,Yogi
bjp,1,Yogi
harami cm,5,Yogi
gunda,4,Yogi
nan,1,Yogi
village development bjp,0,Yogi
yogi lose due price rise,0,Yogi
akhilesh yadav taught lesson  people kasi journey modi kasi statement shamed shiva yadav curse community krishna born yadava questioned sri krishna stole chyamandaka yadava phsyco exist yadava give listen yadav shamed hindus kasi,2,Yogi
religious faith depend individual faith modi yogi,0,Yogi
akhilesh yadav kejriwal neta pure bharat me,4,Yogi
tmc party zindabad removed bjp rss,8,Yogi
lady venomous,2,Yogi
pls vote ur head vote kind politics againye chatu logo sun vote math karnawe poor management covid timedead bodies floating river vote,0,Yogi
devil clad saffron,6,Yogi
बीजेपी सूपड़ा साफ,3,Yogi
jai sri ram jai modi jai yogi,3,Yogi
wah yogi wah kamal maharaj,2,Yogi
यु लोग तुम्हे बदनाम होंगेशोहरत औरो कमाई होगीपर सब यु एलान होंगे,1,Yogi
speaks dharm development sochte owaisi,0,Yogi
गुल्लू मालिक देख खुश,0,Yogi
leaders yogi jii,1,Yogi
ram mandir dhanevad bhrtachar upay,1,Yogi
gulluwaaa bhot khussh lagat baaaa,0,Yogi
ik bar bhagwa lahrayenge,4,Yogi
yogi pm,2,Yogi
akihlas yadav jinda,0,Yogi
nan,0,Yogi
yogi आयेगe,1,Yogi
yogi sarkar bnegi frse,1,Yogi
yogi yogi yogi h lakshan saaf saaf dikh jitega yogi patta saaf,0,Yogi
jai sree raam samaajwaadi zindabad zindabad,0,Yogi
akhilesh yadav zindabad zindabad,1,Yogi
aayega akhilesh,1,Yogi
मो दी,0,Yogi
news channel bjp campaign social media account,0,Yogi
bikau media,2,Yogi
yogi gorakhpur police kh deejiye krti,0,Yogi
bjp,1,Yogi
godimedia,0,Yogi
अखिलेश यादव बड़ा एलान सरकार बनने घरेलू उपभोक्ताओं   यूनिट किसानों फ्री बिजली देंगे,1,Yogi
अखिलेश यादव जिंदाबाद,3,Yogi
north india leaders south boom economically it super capitals bengaluru hyderbad chennai kochi boom elect religious leaders happy temples forgot jobs private sector,0,Yogi
दलाली रहो जनता पेलेगी बार,0,Yogi
bjp,6,Yogi
bjp up  india,5,Yogi
अखिलेश सरकार बनेगी,6,Yogi
nofish,0,Yogi
bjp,1,Yogi
let pray children parents real legend ,1,Yogi
आएगे योगी आदित्यनाथ  अयोध्या जीत पक्की ,30,Yogi
yogi modi jindabad,20,Yogi
love india  jai shree ram bharat mata jai ,32,Yogi
स्टेशन मोदी  जंगल योगी अच्छे लगते वरना बिकने तैयार रहें,9,Yogi
great ,6,Yogi
jai yogi,5,Yogi
yogi ,1,Yogi
jay bjp tay bjp,1,Yogi
जयहोमहायोगीमोदीजीहैं महाखिलाड़ीहैंमोदीजीहैंमहा देशभक्तहैमोदीजीमहाराजा हैमोदीजीहैंमहाप्रधानहैंमोदी जीमहासनातनीहैमोदीजी मोदीजीसतसतनमनहैमोदी जीमैहूंमोदीभक्तमोदीजी प्रणामआपकोमोदीजी ,7,Yogi
nice work yogi,1,Yogi
yogi maharaj   baar,4,Yogi
jai shree ram,4,Yogi
upyogiupyogi,2,Yogi
aayenge yogiji ,2,Yogi
yogiji great cm,1,Yogi
yogi cm   aa,3,Yogi
yogi,4,Yogi
huge love yogi,2,Yogi
लहर होगा ललकार होगा ऐक बार योगी सरकार होगा,19,Yogi
योगी अति उत्तम ,22,Yogi
jai yogi maharaj,0,Yogi
yogi ,1,Yogi
yogi ,3,Yogi
pahele hindu khatrey sanghiyon vote manga bhakton vote absaheb khatre khatrey vote muzhe yakin bhakt ,1,Yogi
jay maharaj,1,Yogi
yogi ji,3,Yogi
love yogi jiiii,0,Yogi
yogiji maharaj,2,Yogi
yogi government,2,Yogi
yogi ,16,Yogi
ayenge phir yogi welcome welcome   yogi maharaj,2,Yogi
maharaj charno sadar pranam,1,Yogi
yogi me akhilesh sirf jagah leader hai bakio ignore deta hai gundagardi badh akhilesh under,2,Yogi
अच्छा इंटरव्यू। उत्तर योगी उपयोगी   विजयी होंगे।,21,Yogi
jay sri yogi maharaj big fan swami  jay shree ram,11,Yogi
jai shri ram,5,Yogi
yogi jee jai,0,Yogi
“नया सवेरा नई किरण साथनया दिन प्यारी मुस्कान साथआपको नया साल मुबारक होमेरी ढेर सारी दुआओं साथ।”,1,Yogi
jay akhilesh,0,Yogi
command yogi,1,Yogi
yogi great cm uphar mahadev,12,Yogi
जय सियाराम जय हिंद सेना,0,Yogi
unemployment rate delhi punjab hai data cmie site hai sarkar data haiduniya bada mobile manufacturing plant hai desh jada data center investment aayi   me expressways banane mamle top up exports jada exports district hain gundagardi nijat hai jada ujjawal benefits mile the,7,Yogi
yogi,2,Yogi
yogi jeeteinge,15,Yogi
yogi proud  mahgayi berojgari pr dhyan dena,1,Yogi
achha,1,Yogi
jai shree ram,0,Yogi
yogi yogi,2,Yogi
जय हिन्दुस्तान जय हिन्दू जय मोदी योगी,1,Yogi
जय हिंद योगीराज जय हिंद जय भारत वंदेमातरम,32,Yogi
jai yogi ji,13,Yogi
bhagwadhari bjp,1,Yogi
jayada corruption sarkar ,0,Yogi
bjp jindabad,2,Yogi
yogi sarkar,0,Yogi
keheta bs yogi yogihi,1,Yogi
yogi sarkar,0,Yogi
remember word yogi cm wait watch text   march my prediction wrong behalf   crore katter hindu address gorakhnath gorakhpur,1,Yogi
bjp,4,Yogi
abki bar yogi sarkar,0,Yogi
yogi modi,1,Yogi
jai yogi ,11,Yogi
me me cm yoge je honge jay shree ram,8,Yogi
jai shree ram yogi sarkar ayegi,0,Yogi
yogi jindabad,0,Yogi
jai shree ram jai namo jai yogi maharaj ,6,Yogi
big fan yogi adityanath,16,Yogi
yogi zindabad full majority wps,0,Yogi
yogi aapki sarkaar aana aana,0,Yogi
yogi,1,Yogi
yogi,0,Yogi
योगी देश सर्वश्रेष्ठ मुख्यमंत्री हमे योगी जरूरत उत्तर प्रदेश लूटेरों हाथ आने देगे,8,Yogi
yogi make government full majority assembly election,0,Yogi
yogi shirf yogi jai bhagwadhari,1,Yogi
yogikatam,0,Yogi
pm yogiji,0,Yogi
torege choorege,1,Yogi
योगी सरकार,0,Yogi
bengal love jogi,7,Yogi
जय जय श्री राम योगी,1,Yogi
yogi jee,1,Yogi
बार योगी सरकार,1,Yogi
army army vacancyopen rally bharti,2,Yogi
योगीजी आगे बढें यूपी आपके,7,Yogi
yogi jiiii,0,Yogi
ramrajya,1,Yogi
yogijijay jay shree ram,1,Yogi
jai shree ram ,13,Yogi
योगी,1,Yogi
bengal jogiji cm,30,Yogi
yogiji aayenge,0,Yogi
yogi,0,Yogi
aayega yogi ,1,Yogi
jay yogi tay yogi ,1,Yogi
yogi,0,Yogi
upyogi zindabad ,17,Yogi
जय श्री राम केवल योगी,1,Yogi
jai shri ram,0,Yogi
love yogi,40,Yogi
कमिंग pm yogi भविष्य    ,0,Yogi
